"","post.id","post.link","post.data.id","post.date.raw","post.title","post.type","post.price","post.subcl","post.subcltype","post.loc","post.text","post.date","post.last.update","post.pics","cityurl","subcl"
"1","4610316890","http://poconos.craigslist.org/cas/4610316890.html","4610316890","Sep 6","I need a sweet clit and pussy to lick now","m4w","48","cas","casual encounters","tobyhanna","I love licking a woman until she cums over and over again.
I know how to lick your clit, lick your pussy, use my fingers,
just keep alternating and building up the excitement until you
go into convulsions and scream !","2014-08-08T23:45:15-0400","2014-09-06T06:43:56-0400",0,"http://poconos.craigslist.org","ppp"
"2","4610514347","http://poconos.craigslist.org/cas/4610514347.html","4610514347","Sep 7","Weekend GLORYHOLE ;","m4mm","34","cas","casual encounters","Lake area / I-84","READ ALL THIS AD  BEFORE REPLYING PLEASE
THIS WEEKEND  untill ????pm each day... TXT to CONFIRM A TIME...
YOU WILL  BE VERY  S A T I S F I E D !!!
This is for guys , couples, or gals   ages 18 - 35   and not severely overweight please. 
come in ad get your cock sucked, or suck my 8+""er, or have your pussy eaten,
or your pussy fucked, or your ass fucked, or both LOL, or you might be the lucky dude that 
i give up my hole for... thats like  2holes at once... 
""5-seventy""
This is absolutely for real and i am a squeaky clean dude,34,ddf,neg, and 8""+ hung cut dude.
YOU BE  CLEAN AND DDF and HIV-  and  HUNG is a BIG +++
lube and condoms are provided if you are  wondering.
""4-ninetythree""
This is a private location and it is a real wood gloryhole, not a sheet, and there is room to stand in line,
or wait in a separate private setting as you prepare to have your cock or hole serviced.
     [(o)]
Recently several dudes brought ladies to ""The Hole"" for fun and
we all had a sensational time!!! But the ladies and a few dudes
have suggested a more ""BENDOVER FRIENDLY HOLE"" so we revamped it.
Now the regular Gloryhole remains the same, but a new 
Bendover friendly feature has been added and it is S U P E R NICE !!!
No Joke !  CUM  & TRY IT.!!!
""one8sixtyfive""
IF you email a response please note, include stats or a pic if you can
YOU MUST put      ****NEW HOLE*****    in the subject line to be responded to, and 
NO ONE will view ads online while the     hole is open ...  
YOU MUST call ( No blocked  calls),  or TEXT and 
directions will be given. 
Oh if we dont  respond instantly, its just  cuz  were  busy and 
will get back to you asap.... ;-)......
You are welcome to cum and enjoy sucking / fucking in a safe private spot.
Note  if you want to email we can possibly  schedule  future appointtments.","2014-08-09T07:40:52-0400","2014-09-07T08:51:03-0400",0,"http://poconos.craigslist.org","ppp"
"3","4610722436","http://poconos.craigslist.org/cas/4610722436.html","4610722436","Sep 6","looking for a women","m4w",NA,"cas","casual encounters",NA,"looking for a women to have a good time with. iam 45 and looking for a younger women to lick and get a blowjob from. text me 570 55 zero 5 nine 2 nine","2014-08-09T10:50:29-0400","2014-09-06T09:27:43-0400",0,"http://poconos.craigslist.org","ppp"
"4","4611189219","http://poconos.craigslist.org/cas/4611189219.html","4611189219","Sep 6","searching for a mature m/f couple who suck together","m4mw","58","cas","casual encounters","burbs","Discreet clean guy with 7 thick seeking a m/f couple who suck cock together or where the wife watches a sthe husband services. Clean Discreet
No Stds Nothing far out No drugs No swingers, Write me","2014-08-09T15:06:15-0400","2014-09-06T12:37:10-0400",0,"http://poconos.craigslist.org","ppp"
"5","4612687672","http://poconos.craigslist.org/cas/4612687672.html","4612687672","Sep 6","Looking for TWINK bottom to travel to me","m4m","40","cas","casual encounters","My Place in Allentown","My stats: 40 y/o, 5'6, masculine, 165lbs, 33""w, hwp, ddf, 5""c, clean-shaven face, and hiv neg.
Seeking a younger twink bottom for hott fun. I can host on WEDNESDAYs.
Safe, sane, relaxed, very discreet. I host. 
Please be sane, in shape, ddf, clean, no younger than 18 and no older than 30, and have stats and pic in your first email.
No stats in first email=No reply. :) 
HMU if interested","2014-08-10T16:34:42-0400","2014-09-06T14:58:52-0400",2,"http://poconos.craigslist.org","ppp"
"6","4612928301","http://poconos.craigslist.org/cas/4612928301.html","4612928301","Sep 6","gloryhole open","m4m","45","cas","casual encounters","stroudsburg","gloryhole open for business. looking to please all young cock, any size, any color. just be clean, send stats(not into chubs) w txt number for quick reply.  discrete and safe. suck u later, thx","2014-08-10T19:26:39-0400","2014-09-06T18:00:39-0400",0,"http://poconos.craigslist.org","ppp"
"7","4613414959","http://poconos.craigslist.org/cas/4613414959.html","4613414959","Sep 8","Are you perfectly PLUMP ?","m4w","55","cas","casual encounters","Effort","Looking to enjoy some quality time with a large gal who is comfortable inside her own skin. Recently broke up with girlfriend of 10 years and would like to cuddle again. If you'd like good conversation sandwiched around GREAT sex, let's give it a try. We could both use the exercise!
:-)
Please put ""Plump"" in response header to deter bot responses. Thank you.","2014-08-11T08:00:07-0400","2014-09-08T07:25:09-0400",0,"http://poconos.craigslist.org","ppp"
"8","4615093637","http://poconos.craigslist.org/cas/4615093637.html","4615093637","Sep 7","Wht vers lookin for a Blk dude for some fun","m4m","35","cas","casual encounters","Nfld/ Tobyhana/ Gouldsboro","Just lookin 4a Black dude,preferablyHUNG and 18to33
lookin for somefun.totally versehere.and.also.wellhung.at.over8""cut&thick
Iwill.suk5or.rimmor.u7can suk.or.fuk0or both
Ican4.host,no9.problem3.and,im lookin for ASAP so.plz.type ""  HOT BRO""
as.1the.subject8.and6be 5serious...this isfor   after work meetups","2014-08-12T05:53:19-0400","2014-09-07T09:19:17-0400",0,"http://poconos.craigslist.org","ppp"
"9","4615123662","http://poconos.craigslist.org/cas/4615123662.html","4615123662","Sep 6","Stud for you","m4w","45","cas","casual encounters","Bushkill","Thanks for looking! Tall good looking stud in search of sexy female for discrete, no strings fun!
Tell me about yourself and lets see if we want to have some fun! 6'4"" 215, good looks and 100% STD free and sane.","2014-08-12T07:24:40-0400","2014-09-06T14:01:44-0400",0,"http://poconos.craigslist.org","ppp"
"10","4615124959","http://poconos.craigslist.org/cas/4615124959.html","4615124959","Sep 6","Anything better than...","m4t","45","cas","casual encounters","Bushkill","A sexy TV TS or CD... not in my book! Would love to find a sexy fem bottom for some hot fun. I'm a tall good looking bi guy, who can host the right bottom. If that's you, please include some stats and a pic in your reply.","2014-08-12T07:27:18-0400","2014-09-06T14:00:14-0400",0,"http://poconos.craigslist.org","ppp"
