"","cityurl","subcl","post_id","post_link","post_data_id","post_date_raw","post_title","post_price","post_subcl","post_subcltype","post_loc","post_text","post_date","post_last_update","post_pics","post_type"
"1","http://kalamazoo.craigslist.org","ppp","4610482698","http://kalamazoo.craigslist.org/cas/4610482698.html","4610482698","Sep 7","Daddy seeking 18 to 36 vers Bttm","47","cas","casual encounters","Kzoo","Hey guy I am off for the next 2days seeking a younger guy to enjoy me down time with I am 6ft 225 Vers top 8,5 thick and cut that enjoys oral kissing and of course fucking I am host on east side so if you interested reply with full stats and pics if you have them txt or email only twosixnine nineonezero fiveonefourone. Lets have some fun boys","2014-08-09T06:17:39-0400","2014-09-07T04:58:55-0400"," 0","m4m"
"2","http://kalamazoo.craigslist.org","ppp","4610706411","http://kalamazoo.craigslist.org/cas/4610706411.html","4610706411","Sep 8","looking for used panties","38","cas","casual encounters","kalamazoo/portage","hello i am a guy who has a panty fetish so if you are over 18 and looking for some extra money and willing to take your panties off in front of me, please e-mail me back and put ""fetish"" in the subject line.   thanks","2014-08-09T10:40:32-0400","2014-09-08T04:53:13-0400"," 0","m4w"
"3","http://kalamazoo.craigslist.org","ppp","4611071358","http://kalamazoo.craigslist.org/cas/4611071358.html","4611071358","Sep 7","Looking for some fun today","38","cas","casual encounters","Portage","Hello there. First off I am married and not looking to change that. I am looking for a new friendship that might turn into more once in a while if you know what I mean. Message me and let's start chatting a bit.","2014-08-09T14:00:53-0400","2014-09-07T16:02:03-0400"," 0","m4w"
"4","http://kalamazoo.craigslist.org","ppp","4611739478","http://kalamazoo.craigslist.org/cas/4611739478.html","4611739478","Sep 7","Looking for BB Fun with HWP Guy","50","cas","casual encounters","Portage","Anyone looking for bareback fun - smooth, hung and HWP are plus.  I am nicely hung bear. I want to flip flop fuck - take turns fucking each other and seeding each other.  I cum A LOT hopefully you do too.  Open to kink but mostly into fucking and some sucking.  I host at my place in Portage.","2014-08-09T21:56:59-0400","2014-09-07T20:50:05-0400"," 0","m4m"
"5","http://kalamazoo.craigslist.org","ppp","4611775441","http://kalamazoo.craigslist.org/cas/4611775441.html","4611775441","Sep 7","bttm chub looking around","41","cas","casual encounters","Plainwell/Otsego","Hi im a chubby bttm looking for fun n more. Quite shy at first but open up quick. Would like to find someone to suck 69 get fucked by a nice cock. Tend to like younger guys. Gingers a huge plus. Put ""evil"" in subjet to weed spam.","2014-08-09T22:37:15-0400","2014-09-07T21:13:36-0400"," 0","m4m"
"6","http://kalamazoo.craigslist.org","ppp","4612522276","http://kalamazoo.craigslist.org/cas/4612522276.html","4612522276","Sep 7","Looking for a young sub or wanna be","46","cas","casual encounters","kalamazoo","I am looking for a young sub over 18 years of age. I want to have you over a few nights a week to dominate you and use your holes to my own satisfaction, and yours. I am 46 yo white male, 5 ft 11, 178 lb. I am dd free, discreet, and I am not looking for any drama. I am not looking to support someone by paying for sex, it is not legal and it is immoral. I want someone who is just into role play, and be disciplined (daddy/daughter, teacher/student etc) 
I want you to be clean, disease free, cute, slim to curvy (no one over 180 lb) and ready to enjoy a good ride for as long as it can last. This is let's try first, and then trust, that can turn into ltr.","2014-08-10T14:49:08-0400","2014-09-07T19:04:20-0400"," 0","m4w"
"7","http://kalamazoo.craigslist.org","ppp","4614163399","http://kalamazoo.craigslist.org/cas/4614163399.html","4614163399","Sep 7","Need outdoor head","27","cas","casual encounters","Outdoors","I'm looking to get my dick sucked outside in a safe woodsy area.If secluded enough I'd like us to be nude or semi nude. I'm not interested in actually getting caught... So it would have to be very secluded. I'm 27, blk, masc, very discreet, 6'4"", HWP. Clean, 7in cut, have gf and need you to be very discreet as well. I'm looking to do this today.Be open to recip. Also, if you are only interested in meeting in a private location than I don't think I'm your guy. Looking for guys who want to mess around in public and get naked if it feels safe enough.","2014-08-11T15:08:09-0400","2014-09-07T10:42:37-0400"," 0","m4m"
"8","http://kalamazoo.craigslist.org","ppp","4614611273","http://kalamazoo.craigslist.org/cas/4614611273.html","4614611273","Sep 8","Secret life...","47","cas","casual encounters","Kalamazoo","So, you have been looking through the personal ads on cl for awhile now and at first you thought they were funny and pathetic. But now you find yourself intrigued  by the thought that whoever posted that ad for sex is out there and all you have to do is reply and he will be there to touch you...","2014-08-11T19:18:20-0400","2014-09-08T06:29:21-0400"," 0","m4w"
"9","http://kalamazoo.craigslist.org","ppp","4616712390","http://kalamazoo.craigslist.org/cas/4616712390.html","4616712390","Sep 7","I'm looking for a pink dildo","24","cas","casual encounters","Kalamazoo","I'm looking for a pink or clear dildo with balls. Suction cup base would be great.","2014-08-13T01:34:33-0400","2014-09-07T18:55:26-0400"," 0","m4m"
"10","http://kalamazoo.craigslist.org","ppp","4616919066","http://kalamazoo.craigslist.org/cas/4616919066.html","4616919066","Sep 7","Want to share my bed?","42","cas","casual encounters","kzoo","Looking for a nice girl who wants to share a bed with me.  Days or Nights. Please be disease free and hmu for details.","2014-08-13T09:19:49-0400","2014-09-07T20:17:10-0400"," 0","m4w"
